GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Simple Webapp(s),nz.ac.wgtn.swen301.restappender.server,StatsExcelServlet,338,0,20,0,39,0,13,0,3,0
Simple Webapp(s),nz.ac.wgtn.swen301.restappender.server,LogsServlet,56,207,12,10,13,57,11,9,0,9
Simple Webapp(s),nz.ac.wgtn.swen301.restappender.server,StatsCSVServlet,104,230,7,11,13,25,4,8,0,3
Simple Webapp(s),nz.ac.wgtn.swen301.restappender.server,Persistency,0,168,0,0,0,28,0,4,0,4
Simple Webapp(s),nz.ac.wgtn.swen301.restappender.server,StatsHTMLServlet,178,310,5,11,31,43,3,8,0,3
